#,jid,username,name,country,1A,1B,1C,2A,2B,2C,total,medal
150,JIDUSERav1Mxuu1vbYcPYXmWGys,wzh2021,wzh,,,,,30,31,11,72,
150,JIDUSERBE6LzvYINzS0SI33JLUb,bobbysusanto,Bobby Susanto Ali,IDN,20,26,,22,4,,72,
153,JIDUSERCpz1UsXSporwvHLPBU9T,OumaeKumiko,llk,,,,,64,4,,68,
153,JIDUSERS3jRmpslQ7p02WOxqvyL,Riofebrian,Rio Febrian,IDN,,,,30,25,13,68,
155,JIDUSERgvmxnBdMuB0OwFDOhbkv,gagikgev07,Gagik Gevorgyan,,20,,46,,,,66,
156,JIDUSER6xMyDiiShCSMAfkdFdBd,bryan.noel,Bryan,IDN,,50,15,,,,65,
156,JIDUSERfTpZqw266wK7Yytuj4zM,AZMa,ahmad zulkifli mahfuz,,11,19,27,8,,,65,
158,JIDUSEREadp9mpDu7u9cZ1vpDhk,chyjn,yo,,29,,,22,,11,62,
159,JIDUSERZHem4e9xmCC95VFKQq62,melisalee,Melisa Lee,IDN,,,,0,42,18,60,
159,JIDUSERGKWnbGwcXJO1HuX0pba2,unanon,Siim Alas,EST,20,,15,,,25,60,
161,JIDUSER3FOcNtURNWEbI6ztKWmp,Goodwill_Lion,Goodwill Bryan Lion,IDN,,30,27,,,,57,
162,JIDUSERptPzUZmW5fepk9EQ6s6h,Chtholly,Chtholly Nota Seniorious,,48,,,,,,48,
162,JIDUSERBCPSuBulk5oPWl027LOR,status_coding2,Chiriac Matei,,48,,,,,,48,
162,JIDUSERrVhUS8IAPwlA2fCn21OF,Idkwhoami,Idkwhoami,,,,48,,,,48,
162,JIDUSERvB3ISxJVpCs8KDw3gmzR,wizist,Wizist,TWN,48,,,,,,48,
166,JIDUSER3H0fwMyxQ8x0wVo3tpBT,TheStupidOne,Kian,,0,,46,,,,46,
166,JIDUSERZ5IuisJanDefqqDqAoSD,zendy,Muhammad Zendy Zainuddin,,,46,,,,,46,
168,JIDUSERtBLc1fPquvnImeqVJfnv,rimbaerlangga,Rimba Erlangga,IDN,,,,,42,,42,
168,JIDUSERdVYowYqouSz0fsEwAke4,Gurgen_Melikyan,Gurgen,,0,,,,31,11,42,
170,JIDUSER91WCPDB9HkNwkSYjsB94,zre0zer0,Name,IND,,4,,30,,,34,
171,JIDUSERBcX7M2kf25YCqevTNYQL,Hamo,Hamlet,,28,4,,,,,32,
172,JIDUSERUYwiIQqGnsbwhgjSvNV8,CrazyDance,CrazyDance,CHN,,,,,31,,31,
172,JIDUSERtxZkQhfZ4lH78C7qhJFm,daffanandamath,Daffa Rayhan Ananda,IDN,,,,22,4,5,31,
174,JIDUSERoTrEr5u9g86MhxUUhBue,tredsused70,Denys Zhyrnov,,,,,30,,,30,
174,JIDUSERdYJVpbd1uirwvGlEknQm,Rain.,James Martin,,,30,,,,,30,
174,JIDUSERNteeWfuhVuA3CBXiOq6y,Rush,Rush,,,,,30,,,30,
174,JIDUSEReIkF4FAYO9IIU816zTIY,ImmortalWatcher,Immortal Watcher,CHN,,,,30,,,30,
178,JIDUSERzAdfbAd7fRLvkR3XVg63,manesk,Mane Vardanyan,,20,0,,8,,0,28,
179,JIDUSERN6BxJH8909MJQtKOON7X,pln,Pavlo,,,,27,,,,27,
180,JIDUSEReqbTzgMT0P9x0k42wYKq,si_gabut,Asep,IDN,,26,,,,,26,
181,JIDUSERdT6UoKRnvcy0bhJXEWHQ,Emiliano,AnYujin,IDN,25,,,,,,25,
182,JIDUSERYVd8zSPinflQATQAD7uh,2018xiaoweiwen,Shaw Wiwan,,,,,22,,,22,
182,JIDUSERvCyYkg18r9bxA45gwiPr,meiganghao,梅刚浩,,,,,22,,,22,
184,JIDUSERsZUMOYlaUMa4KU3zoT21,ndhfrayyan,Rayyan,IDN,20,,0,,,,20,
185,JIDUSERvM2p0pdWVelxUNloyXoj,mivenzia,greyrat,,,0,15,,,,15,
185,JIDUSERL7ogAbQyWx1pcDGD7hOT,cfrnx,Clayton Fernalo,IDN,,,15,,,,15,
187,JIDUSERiIhozJCqqr5lph4mfqNy,rrqxinn07,rrq xinn,IDN,14,,,,,,14,
187,JIDUSERaHcYzcjbfOlTY35fvQMX,YasaminRajabi,YasaminRajabi,,14,,,,,,14,
187,JIDUSERrhVtXimCST8qLN8ggP7H,tangmmy,Tang Ming-Yi,,14,,0,,,,14,
187,JIDUSERN1sgmu3P2Q5nfpGVfPVb,YuliaEm,Yulia,,6,,,8,,,14,
191,JIDUSERM0jS44m1xJd0yhTFezFo,Shofie,Shofi,,,,,8,4,,12,
192,JIDUSERsfW6eOYuOQG6HgvRnJwe,Evirir,Evirir,MYS,,,,,,11,11,
193,JIDUSERbz7GDLUIFO6bkHWmGqTF,justtesting,justtesting,,,,8,,,,8,
193,JIDUSERMK2eGjh6w2adDqFM8I9b,liusaprian,Lius Aprian Hartono,,,,,8,,,8,
193,JIDUSER0UYJXE9lrAelZHDNHn1U,Taystered,Taystered,CHN,,,,8,,,8,
196,JIDUSERpWfBjoZumnBAKLJtS1xF,awang,Okyan Awang Ramadhana,IDN,5,,,,,,5,
196,JIDUSERpZFQx8Sc51WgwU8KxB7l,GloryLion,Glory Charity Lion,,0,5,,,,,5,
198,JIDUSERPGOZLsP3W8r61QKl0LjI,maximath_1,Maximilliano Utomo Quok,IDN,,4,,,,,4,
199,JIDUSERyORhlMOpfaenxn5NrOLe,njakja,Malik Nata Praja,IDN,0,,,0,,,0,
199,JIDUSERCBW6Xi2buJsOifJKHiJt,abdan123,ABDAN HAFIDZ,IDN,0,,,0,,,0,
199,JIDUSER08E8gkmoSQK0N1v04lsD,Azz_08,Azzah Husna A,,0,,,0,,,0,
199,JIDUSERJdEZFy6xHecsRTPFYk3H,plains4,Sebastian Mualim,IDN,,,,0,,,0,
199,JIDUSERkeeAF95bYeD6u97mAxzg,rwhendry,Reynaldo Wijaya Hendry,IDN,,,,0,,,0,
199,JIDUSER9iG4P9rFaaPM5UkJ2sDB,hofner23,Hofner,,,,0,,,,0,
199,JIDUSERhZ1JheHTyA76xCnEheOk,Takeshi02,Takeshi Henderson Herman,,,,0,,,,0,
199,JIDUSERT2xgbiBx0NNFMu34sbtP,DANIELSMS,Daniel Simanullang,IDN,,,,0,,,0,
199,JIDUSERXFAG0Yujd4gpltprduKm,Zikri1911,Muhammad Zikri Ramadhan,IDN,0,,,,,,0,
199,JIDUSERK79rnHCPelYbwjpty56W,RanZ_,Muhammad Zhafran Ammar,IDN,,,0,,,,0,
199,JIDUSERzvJNywh1XxGrAc0Ypw09,Romajin,Randy Nasuta,IDN,,,,0,,,0,
199,JIDUSEREBGkjIxIwtp9KWj7tNEm,VGCode,Vhalentino Gamgenora,IDN,0,,,,,,0,
199,JIDUSERnlnSqP7E6OBTqdpxjp91,ZERRRO,fdasdf,,,,,0,,,0,
199,JIDUSEReGTaLWvXeYoPAGdNdAM9,koisawa,肖淇,,,,,0,,,0,
199,JIDUSEROpAkRtzajwLSOmhU4swX,pedastrian57,Soumya,,,,,0,,,0,
199,JIDUSER5tlQ95dLZeJ1dJ9VYM28,phoebe,phoebe,NZL,,,,0,,,0,
199,JIDUSERfRwFIvUGcPofcMYL8Jn7,w1nt3r,Dong Nguyen,,,,,0,,,0,
